Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
Circus Circus Reno,"Colorful casino lodging featuring free circus shows, plus a convention center, concerts & dining.","{'latitude': 39.531396799999996, 'longitude': -119.81561279999998}",3,https://www.caesars.com/circus-circus-reno?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=CCE&utm_content=hotel&y_source=1_MTk1MTkyNjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"[{'stars': 5, 'count': 7835}, {'stars': 4, 'count': 4578}, {'stars': 3, 'count': 2518}, {'stars': 2, 'count': 875}, {'stars': 1, 'count': 1070}]",16876,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 1647, 'positive': 998, 'negative': 390, 'neutral': 259}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 2009, 'positive': 1626, 'negative': 231, 'neutral': 152}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 762, 'positive': 509, 'negative': 187, 'neutral': 66}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 385, 'positive': 48, 'negative': 297, 'neutral': 40}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 391, 'positive': 92, 'negative': 260, 'neutral': 39}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 2336, 'positive': 1475, 'negative': 635, 'neutral': 226}]"
J Resort,"Casual casino hotel offering multiple dining options & bars, plus a seasonal outdoor pool.","{'latitude': 39.5281442, 'longitude': -119.8188873}",2,https://www.jresortreno.com/,"[{'stars': 5, 'count': 2404}, {'stars': 4, 'count': 1839}, {'stars': 3, 'count': 1514}, {'stars': 2, 'count': 720}, {'stars': 1, 'count': 950}]",7427,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 915, 'positive': 454, 'negative': 300, 'neutral': 161}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 412, 'positive': 65, 'negative': 311, 'neutral': 36}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 485, 'positive': 294, 'negative': 143, 'neutral': 48}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 250, 'positive': 130, 'negative': 88, 'neutral': 32}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 1505, 'positive': 803, 'negative': 553, 'neutral': 149}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 476, 'positive': 114, 'negative': 298, 'neutral': 64}]"
Grand Sierra Resort and Casino,"Colorful quarters in a vibrant property with eclectic dining & a casino, plus a spa & a theme park.","{'latitude': 39.5230411, 'longitude': -119.7812235}",4,https://www.grandsierraresort.com/,"[{'stars': 5, 'count': 15945}, {'stars': 4, 'count': 7220}, {'stars': 3, 'count': 2684}, {'stars': 2, 'count': 928}, {'stars': 1, 'count': 1365}]",28142,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 4152, 'positive': 3044, 'negative': 660, 'neutral': 448}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 1932, 'positive': 1429, 'negative': 298, 'neutral': 205}, {'name': 'Family', 'description': 'Family friendly', 'total_mentioned': 1484, 'positive': 1216, 'negative': 184, 'neutral': 84}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 1743, 'positive': 1215, 'negative': 388, 'neutral': 140}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 926, 'positive': 534, 'negative': 276, 'neutral': 116}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 5008, 'positive': 3962, 'negative': 702, 'neutral': 344}]"
Plaza Resort Club Hotel,"Laid-back hotel offering an indoor pool & a gym, plus a rooftop terrace.","{'latitude': 39.525643699999996, 'longitude': -119.8157863}",3,http://www.plazaresortclub.com/,"[{'stars': 5, 'count': 344}, {'stars': 4, 'count': 175}, {'stars': 3, 'count': 48}, {'stars': 2, 'count': 15}, {'stars': 1, 'count': 17}]",599,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 133, 'positive': 115, 'negative': 5, 'neutral': 13}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 76, 'positive': 60, 'negative': 9, 'neutral': 7}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 65, 'positive': 42, 'negative': 17, 'neutral': 6}, {'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 65, 'positive': 47, 'negative': 10, 'neutral': 8}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 46, 'positive': 31, 'negative': 9, 'neutral': 6}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 51, 'positive': 45, 'negative': 1, 'neutral': 5}]"
Silver Legacy Resort Casino,"Modern casino resort offering warm quarters, plus a spa, a pool, shops & multiple dining options.","{'latitude': 39.5304918, 'longitude': -119.81499459999999}",4,https://www.caesars.com/silver-legacy-reno?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=SIL&utm_content=resorthotel&y_source=1_MTk1MTkyNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"[{'stars': 5, 'count': 8517}, {'stars': 4, 'count': 5089}, {'stars': 3, 'count': 2094}, {'stars': 2, 'count': 634}, {'stars': 1, 'count': 827}]",17161,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 2188, 'positive': 1518, 'negative': 428, 'neutral': 242}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 1004, 'positive': 763, 'negative': 165, 'neutral': 76}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 683, 'positive': 464, 'negative': 155, 'neutral': 64}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 2795, 'positive': 2074, 'negative': 489, 'neutral': 232}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 432, 'positive': 138, 'negative': 256, 'neutral': 38}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 1999, 'positive': 1360, 'negative': 522, 'neutral': 117}]"
Eldorado Reno Hotel & Casino,"Neon-lit casino lodging offering casual rooms, plus 24-hour gaming, dining options & a pool.","{'latitude': 39.5291595, 'longitude': -119.81464879999999}",4,https://www.caesars.com/eldorado-reno?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=ELR&utm_content=hotel&y_source=1_MTk1MTkyNjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"[{'stars': 5, 'count': 6327}, {'stars': 4, 'count': 3845}, {'stars': 3, 'count': 1594}, {'stars': 2, 'count': 504}, {'stars': 1, 'count': 560}]",12830,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 1685, 'positive': 1163, 'negative': 306, 'neutral': 216}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 1094, 'positive': 834, 'negative': 170, 'neutral': 90}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 550, 'positive': 393, 'negative': 101, 'neutral': 56}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 329, 'positive': 257, 'negative': 44, 'neutral': 28}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 1835, 'positive': 1350, 'negative': 347, 'neutral': 138}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 296, 'positive': 81, 'negative': 172, 'neutral': 43}]"
Legacy Vacation Resorts Reno,"Straightforward suites with kitchens in a relaxed hotel featuring an indoor pool, a sauna & a gym.","{'latitude': 39.5228373, 'longitude': -119.81388729999999}",3,https://www.legacyvacationresorts.com/destinations/reno?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,"[{'stars': 5, 'count': 196}, {'stars': 4, 'count': 159}, {'stars': 3, 'count': 105}, {'stars': 2, 'count': 90}, {'stars': 1, 'count': 134}]",684,"[{'name': 'Room', 'description': 'Room amenities', 'total_mentioned': 99, 'positive': 24, 'negative': 71, 'neutral': 4}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 77, 'positive': 37, 'negative': 32, 'neutral': 8}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 80, 'positive': 9, 'negative': 68, 'neutral': 3}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 74, 'positive': 36, 'negative': 28, 'neutral': 10}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 102, 'positive': 15, 'negative': 76, 'neutral': 11}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 93, 'positive': 62, 'negative': 18, 'neutral': 13}]"
WorldMark Reno,"Vibrant all-suite hotel offering units with kitchens, plus outdoor pools, a fitness room & a sauna.","{'latitude': 39.5271915, 'longitude': -119.8172858}",4,https://www.extraholidays.com/reno-nevada/worldmark-reno?Identifier=psearch&hotelid=97109&utm_medium=referral&utm_source=google.com-local&utm_campaign=yext&utm_content=wmreno,"[{'stars': 5, 'count': 414}, {'stars': 4, 'count': 197}, {'stars': 3, 'count': 59}, {'stars': 2, 'count': 16}, {'stars': 1, 'count': 13}]",699,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 129, 'positive': 114, 'negative': 3, 'neutral': 12}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 35, 'positive': 23, 'negative': 7, 'neutral': 5}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 187, 'positive': 165, 'negative': 13, 'neutral': 9}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 35, 'positive': 19, 'negative': 10, 'neutral': 6}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 39, 'positive': 20, 'negative': 11, 'neutral': 8}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 174, 'positive': 153, 'negative': 11, 'neutral': 10}]"
Western Village Inn & Casino,"Casual casino hotel offering sleek rooms & suites (some with marina views), plus multiple eateries.","{'latitude': 39.5344449, 'longitude': -119.7338224}",3,http://westernvillagesparks.com/,"[{'stars': 5, 'count': 3748}, {'stars': 4, 'count': 1997}, {'stars': 3, 'count': 917}, {'stars': 2, 'count': 255}, {'stars': 1, 'count': 326}]",7243,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 931, 'positive': 660, 'negative': 147, 'neutral': 124}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 946, 'positive': 820, 'negative': 78, 'neutral': 48}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 395, 'positive': 287, 'negative': 61, 'neutral': 47}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 427, 'positive': 377, 'negative': 27, 'neutral': 23}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 840, 'positive': 681, 'negative': 120, 'neutral': 39}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 925, 'positive': 759, 'negative': 93, 'neutral': 73}]"
Nugget Casino Resort,"Slot machines, table games & other diversions in a relaxed environment with an on-site hotel.","{'latitude': 39.5333407, 'longitude': -119.75827590000002}",3,https://www.cnty.com/nugget/,"[{'stars': 5, 'count': 5954}, {'stars': 4, 'count': 3915}, {'stars': 3, 'count': 2337}, {'stars': 2, 'count': 932}, {'stars': 1, 'count': 1310}]",14448,"[{'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 1796, 'positive': 960, 'negative': 552, 'neutral': 284}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 1085, 'positive': 643, 'negative': 346, 'neutral': 96}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 737, 'positive': 406, 'negative': 253, 'neutral': 78}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 594, 'positive': 399, 'negative': 137, 'neutral': 58}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 2671, 'positive': 1684, 'negative': 725, 'neutral': 262}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 323, 'positive': 269, 'negative': 37, 'neutral': 17}]"
