Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
The Umstead Hotel and Spa,"Plush rooms & suites in woodsy environs, plus fine dining, an outdoor pool, a lake, a spa & a gym.","{'latitude': 35.829830099999995, 'longitude': -78.7641448}",5,http://www.theumstead.com/?utm_source=google-local&utm_medium=organic&utm_campaign=gmb,"[{'stars': 5, 'count': 1542}, {'stars': 4, 'count': 171}, {'stars': 3, 'count': 43}, {'stars': 2, 'count': 35}, {'stars': 1, 'count': 72}]",1863,"[{'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 277, 'positive': 203, 'negative': 51, 'neutral': 23}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 227, 'positive': 166, 'negative': 42, 'neutral': 19}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 82, 'positive': 62, 'negative': 9, 'neutral': 11}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 25, 'positive': 23, 'negative': 0, 'neutral': 2}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 519, 'positive': 439, 'negative': 59, 'neutral': 21}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 168, 'positive': 134, 'negative': 22, 'neutral': 12}]"
Cambria Hotel Raleigh-Durham Airport,"Contemporary suites offering free Wi-Fi & an airport shuttle, plus an indoor pool & a restaurant.","{'latitude': 35.8654477, 'longitude': -78.81466809999999}",3,https://www.choicehotels.com/north-carolina/morrisville/cambria-hotels/nc570?mc=llgoxxpx,"[{'stars': 5, 'count': 584}, {'stars': 4, 'count': 250}, {'stars': 3, 'count': 91}, {'stars': 2, 'count': 66}, {'stars': 1, 'count': 150}]",1141,"[{'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 32, 'positive': 8, 'negative': 20, 'neutral': 4}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 138, 'positive': 77, 'negative': 35, 'neutral': 26}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 396, 'positive': 254, 'negative': 122, 'neutral': 20}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 8, 'positive': 1, 'negative': 5, 'neutral': 2}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 7, 'positive': 0, 'negative': 6, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 421, 'positive': 299, 'negative': 98, 'neutral': 24}]"
21c Museum Hotel Durham,"Stylish boutique hotel offering a spa, an art gallery & an industrial-chic restaurant with a bar.","{'latitude': 35.996059699999996, 'longitude': -78.9017867}",4,http://www.21cmuseumhotels.com/durham/,"[{'stars': 5, 'count': 1258}, {'stars': 4, 'count': 454}, {'stars': 3, 'count': 130}, {'stars': 2, 'count': 83}, {'stars': 1, 'count': 82}]",2007,"[{'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 39, 'positive': 24, 'negative': 10, 'neutral': 5}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 33, 'positive': 20, 'negative': 9, 'neutral': 4}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 56, 'positive': 35, 'negative': 9, 'neutral': 12}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 244, 'positive': 187, 'negative': 34, 'neutral': 23}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 254, 'positive': 189, 'negative': 40, 'neutral': 25}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 26, 'positive': 14, 'negative': 4, 'neutral': 8}]"
The Durham Hotel,"Stylish rooms in a hip hotel with a sleek restaurant, plus a vibrant rooftop lounge with a raw bar.","{'latitude': 35.9970358, 'longitude': -78.90091819999999}",4,https://thedurham.com/?utm_source=gmb&utm_medium=organic&utm_campaign=listing,"[{'stars': 5, 'count': 808}, {'stars': 4, 'count': 307}, {'stars': 3, 'count': 69}, {'stars': 2, 'count': 28}, {'stars': 1, 'count': 33}]",1245,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 397, 'positive': 325, 'negative': 44, 'neutral': 28}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 41, 'positive': 40, 'negative': 0, 'neutral': 1}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 54, 'positive': 42, 'negative': 9, 'neutral': 3}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 279, 'positive': 225, 'negative': 34, 'neutral': 20}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 24, 'positive': 15, 'negative': 4, 'neutral': 5}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 201, 'positive': 154, 'negative': 36, 'neutral': 11}]"
Morehead Manor Bed and Breakfast,"Colonial revival manor house offering 3 cozy, upscale rooms & an airy suite, plus free desserts.","{'latitude': 35.9918739, 'longitude': -78.9122402}",5,https://www.moreheadmanor.com/?utm_source=google&utm_medium=GMB,"[{'stars': 5, 'count': 226}, {'stars': 4, 'count': 3}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 0}, {'stars': 1, 'count': 4}]",235,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 14, 'positive': 13, 'negative': 0, 'neutral': 1}, {'name': 'Spa', 'description': 'Spa', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 5, 'positive': 5, 'negative': 0, 'neutral': 0}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 8, 'positive': 6, 'negative': 1, 'neutral': 1}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 45, 'positive': 44, 'negative': 1, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 85, 'positive': 85, 'negative': 0, 'neutral': 0}]"
Red Roof Inn Durham - Triangle Park,"Understated rooms in a simple hotel offering complimentary coffee, parking & Wi-Fi.","{'latitude': 35.9109626, 'longitude': -78.89227919999999}",2,https://www.redroof.com/property/nc/durham/RRI155?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI155,"[{'stars': 5, 'count': 263}, {'stars': 4, 'count': 92}, {'stars': 3, 'count': 141}, {'stars': 2, 'count': 93}, {'stars': 1, 'count': 218}]",807,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 17, 'positive': 6, 'negative': 10, 'neutral': 1}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 206, 'positive': 66, 'negative': 129, 'neutral': 11}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 174, 'positive': 96, 'negative': 69, 'neutral': 9}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 199, 'positive': 70, 'negative': 112, 'neutral': 17}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 26, 'positive': 5, 'negative': 19, 'neutral': 2}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 12, 'positive': 3, 'negative': 9, 'neutral': 0}]"
Washington Duke Inn & Golf Club,"Elegant hotel set on 300 acres offering luxe quarters, a golf course & multiple dining options.","{'latitude': 35.9928204, 'longitude': -78.9474455}",4,http://www.washingtondukeinn.com/,"[{'stars': 5, 'count': 1127}, {'stars': 4, 'count': 257}, {'stars': 3, 'count': 46}, {'stars': 2, 'count': 24}, {'stars': 1, 'count': 21}]",1475,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 26, 'positive': 17, 'negative': 2, 'neutral': 7}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 195, 'positive': 168, 'negative': 15, 'neutral': 12}, {'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 14, 'positive': 14, 'negative': 0, 'neutral': 0}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 108, 'positive': 90, 'negative': 6, 'neutral': 12}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 112, 'positive': 84, 'negative': 16, 'neutral': 12}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 16, 'positive': 10, 'negative': 4, 'neutral': 2}]"
Hyatt House Raleigh Durham Airport,Contemporary rooms & suites in hotel offering free breakfast & Wi-Fi plus a 24-hour business center.,"{'latitude': 35.8550099, 'longitude': -78.84069749999999}",3,https://www.hyatt.com/hyatt-house/en-US/rduxm-hyatt-house-raleigh-durham-airport?src=corp_lclb_google_seo_rduxm&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,"[{'stars': 5, 'count': 494}, {'stars': 4, 'count': 252}, {'stars': 3, 'count': 79}, {'stars': 2, 'count': 28}, {'stars': 1, 'count': 50}]",903,"[{'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 134, 'positive': 110, 'negative': 16, 'neutral': 8}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 66, 'positive': 56, 'negative': 3, 'neutral': 7}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 37, 'positive': 26, 'negative': 7, 'neutral': 4}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 45, 'positive': 33, 'negative': 8, 'neutral': 4}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 11, 'positive': 7, 'negative': 3, 'neutral': 1}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 7, 'positive': 2, 'negative': 4, 'neutral': 1}]"
Red Roof Inn Durham - Duke Univ Medical Center,"Unassuming budget hotel offering colorful rooms, as well as complimentary Wi-Fi & parking.","{'latitude': 36.0299858, 'longitude': -78.92354379999999}",2,https://www.redroof.com/property/nc/durham/RRI164?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI164,"[{'stars': 5, 'count': 430}, {'stars': 4, 'count': 244}, {'stars': 3, 'count': 188}, {'stars': 2, 'count': 111}, {'stars': 1, 'count': 215}]",1188,"[{'name': 'Pets', 'description': 'Pets', 'total_mentioned': 37, 'positive': 21, 'negative': 13, 'neutral': 3}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 352, 'positive': 222, 'negative': 110, 'neutral': 20}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 306, 'positive': 194, 'negative': 98, 'neutral': 14}, {'name': 'Wellness', 'description': 'Wellness', 'total_mentioned': 5, 'positive': 1, 'negative': 3, 'neutral': 1}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 326, 'positive': 200, 'negative': 100, 'neutral': 26}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 11, 'positive': 2, 'negative': 8, 'neutral': 1}]"
TownePlace Suites Raleigh Cary/Weston Parkway,N/A,"{'latitude': 35.827932, 'longitude': -78.805257}",3,https://www.marriott.com/en-us/hotels/rdutw-towneplace-suites-raleigh-cary-weston-parkway/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 183}, {'stars': 4, 'count': 120}, {'stars': 3, 'count': 65}, {'stars': 2, 'count': 30}, {'stars': 1, 'count': 19}]",417,"[{'name': 'Nature', 'description': 'Nature and outdoor activities', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 121, 'positive': 97, 'negative': 18, 'neutral': 6}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 135, 'positive': 76, 'negative': 42, 'neutral': 17}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 59, 'positive': 40, 'negative': 9, 'neutral': 10}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 5, 'positive': 4, 'negative': 1, 'neutral': 0}, {'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 10, 'positive': 9, 'negative': 1, 'neutral': 0}]"
